Cardio
Date,Exercise,Set,Duration,Speed/Resistance/Distance/Jumps/Sets,Elevation/Avg HR/Incline/Steps,Calories/Laps/Matches,Notes

Exercise
Date,Exercise,Set,Weight,Reps,Notes
"06-Sep-14","swiss-ball plank","1","0.0 kg","25",""
"06-Sep-14","swiss-ball plank","2","0.0 kg","25",""
"06-Sep-14","swiss-ball plank","3","0.0 kg","25",""
"06-Sep-14","swiss-ball plank","4","0.0 kg","25",""
"06-Sep-14","dumbbell incline bench press","1","20 kg","8",""
"06-Sep-14","dumbbell incline bench press","2","20 kg","8",""
"06-Sep-14","dumbbell incline bench press","3","20 kg","8",""
"06-Sep-14","dumbbell incline bench press","4","20 kg","6",""
"06-Sep-14","deadlift","1","45 kg","8","feels okay"
"06-Sep-14","deadlift","2","45 kg","8",""
"06-Sep-14","deadlift","3","45 kg","8",""
"06-Sep-14","deadlift","4","45 kg","8",""
"06-Sep-14","assisted pull-up","1","0.0 kg","8",""
"06-Sep-14","assisted pull-up","2","0.0 kg","8",""
"06-Sep-14","assisted pull-up","3","0.0 kg","6",""
"06-Sep-14","assisted pull-up","4","12 kg","2",""
"06-Sep-14","assisted pull-up","5","0 kg","2",""
"06-Sep-14","assisted pull-up","6","12 kg","4",""
"06-Sep-14","assisted pull-up","7","19 kg","2",""
"06-Sep-14","parallel bar dip","1","0.0 kg","8",""
"06-Sep-14","parallel bar dip","2","0.0 kg","8",""
"06-Sep-14","parallel bar dip","3","0.0 kg","8",""
"06-Sep-14","parallel bar dip","4","0.0 kg","6",""
"06-Sep-14","parallel bar dip","5","12 kg","2",""
"06-Sep-14","high pull","1","20 kg","8",""
"06-Sep-14","high pull","2","20 kg","4",""
"06-Sep-14","high pull","3","25 kg","4",""
"06-Sep-14","high pull","4","25 kg","8",""
"06-Sep-14","high pull","5","25 kg","8",""

"08-Sep-14","machine leg curl","1","45 kg","8",""
"08-Sep-14","machine leg curl","2","45 kg","8",""
"08-Sep-14","machine leg curl","3","45 kg","8",""
"08-Sep-14","machine leg curl","4","45 kg","8","bit tough"
"08-Sep-14","back raise","1","0.0 kg","8",""
"08-Sep-14","back raise","2","0.0 kg","8",""
"08-Sep-14","back raise","3","0.0 kg","8",""
"08-Sep-14","back raise","4","0.0 kg","8",""
"08-Sep-14","back squat","1","40 kg","8",""
"08-Sep-14","back squat","2","40 kg","8",""
"08-Sep-14","back squat","3","40 kg","6",""
"08-Sep-14","back squat","4","40 kg","6",""
"08-Sep-14","calf raise","1","95 kg","12",""
"08-Sep-14","calf raise","2","95 kg","12",""
"08-Sep-14","calf raise","3","95 kg","12",""
"08-Sep-14","calf raise","4","95 kg","12",""
"08-Sep-14","decline crunch","1","0.0 kg","8",""
"08-Sep-14","decline crunch","2","0.0 kg","8",""
"08-Sep-14","decline crunch","3","0.0 kg","8",""
"08-Sep-14","decline crunch","4","0.0 kg","8",""
"08-Sep-14","captains chair leg raise","1","0.0 kg","8",""
"08-Sep-14","captains chair leg raise","2","0.0 kg","8",""
"08-Sep-14","captains chair leg raise","3","0.0 kg","8",""
"08-Sep-14","captains chair leg raise","4","0.0 kg","8",""

"10-Sep-14","air bicycles","1","0.0 kg","50",""
"10-Sep-14","air bicycles","2","0.0 kg","50",""
"10-Sep-14","air bicycles","3","0.0 kg","50",""
"10-Sep-14","dip","1","0.0 kg","6",""
"10-Sep-14","dip","2","0.0 kg","6",""
"10-Sep-14","dip","3","0.0 kg","6",""
"10-Sep-14","dip","4","0.0 kg","6",""
"10-Sep-14","incline barbell bench press","1","40 kg","6",""
"10-Sep-14","incline barbell bench press","2","40 kg","5",""
"10-Sep-14","incline barbell bench press","3","40 kg","6",""
"10-Sep-14","barbell bench press","1","36 kg","8",""
"10-Sep-14","barbell bench press","2","36 kg","8",""
"10-Sep-14","barbell bench press","3","44 kg","6",""
"10-Sep-14","barbell bench press","4","44 kg","6",""
"10-Sep-14","barbell bench press","5","44 kg","6",""
"10-Sep-14","captains chair leg raise","1","0.0 kg","8",""
"10-Sep-14","captains chair leg raise","2","0.0 kg","8",""
"10-Sep-14","captains chair leg raise","3","0.0 kg","8",""
"10-Sep-14","captains chair leg raise","4","0.0 kg","8",""
"10-Sep-14","kneeling cable crunch","1","21.25 kg","8",""
"10-Sep-14","kneeling cable crunch","2","21.25 kg","8","not sure this is right.."
"10-Sep-14","kneeling cable crunch","3","21.25 kg","8","not sure this is right.."
"10-Sep-14","kneeling cable crunch","4","21.25 kg","8",""

"11-Sep-14","one-arm row","1","12 kg","8",""
"11-Sep-14","one-arm row","2","12 kg","8",""
"11-Sep-14","one-arm row","3","14 kg","8",""
"11-Sep-14","one-arm row","4","18 kg","6",""
"11-Sep-14","one-arm row","5","18 kg","6",""
"11-Sep-14","one-arm row","6","20 kg","6","more next time!"
"11-Sep-14","calf raise","1","105 kg","8",""
"11-Sep-14","calf raise","2","105 kg","8",""
"11-Sep-14","calf raise","3","105 kg","8",""
"11-Sep-14","calf raise","4","105 kg","8",""
"11-Sep-14","deadlift","1","50 kg","8",""
"11-Sep-14","deadlift","2","50 kg","8",""
"11-Sep-14","deadlift","3","50 kg","8",""
"11-Sep-14","deadlift","4","55 kg","6",""
"11-Sep-14","deadlift","5","55 kg","6",""
"11-Sep-14","deadlift","6","55 kg","6",""
"11-Sep-14","lat pulldown","1","54 kg","8","close grip"
"11-Sep-14","lat pulldown","2","61 kg","6","close grip"
"11-Sep-14","lat pulldown","3","61 kg","6","close grip"
"11-Sep-14","lat pulldown","4","61 kg","6","close grip"

"15-Sep-14","air bicycles","1","0.0 kg","50",""
"15-Sep-14","air bicycles","2","0.0 kg","50",""
"15-Sep-14","air bicycles","3","0.0 kg","50",""
"15-Sep-14","dip","1","0.0 kg","6",""
"15-Sep-14","dip","2","0.0 kg","6",""
"15-Sep-14","dip","3","0.0 kg","6",""
"15-Sep-14","incline barbell bench press","1","20 kg","6",""
"15-Sep-14","incline barbell bench press","2","30 kg","3",""
"15-Sep-14","incline barbell bench press","3","20 kg","6",""
"15-Sep-14","incline barbell bench press","4","20 kg","6",""
"15-Sep-14","barbell bench press","1","40 kg","8",""
"15-Sep-14","barbell bench press","2","40 kg","8",""
"15-Sep-14","barbell bench press","3","40 kg","8",""
"15-Sep-14","barbell bench press","4","48 kg","6",""
"15-Sep-14","barbell bench press","5","48 kg","6",""
"15-Sep-14","barbell bench press","6","48 kg","6",""
"15-Sep-14","captains chair leg raise","1","0.0 kg","6",""
"15-Sep-14","captains chair leg raise","2","0.0 kg","8",""
"15-Sep-14","captains chair leg raise","3","0.0 kg","8",""
"15-Sep-14","captains chair leg raise","4","0.0 kg","8",""
"15-Sep-14","kneeling cable crunch","1","23.75 kg","8",""
"15-Sep-14","kneeling cable crunch","2","23.75 kg","8",""
"15-Sep-14","kneeling cable crunch","3","23.75 kg","8",""
"15-Sep-14","kneeling cable crunch","4","23.75 kg","8",""

"17-Sep-14","barbell bent-over row","1","35 kg","8",""
"17-Sep-14","barbell bent-over row","2","40 kg","6",""
"17-Sep-14","barbell bent-over row","3","40 kg","6",""
"17-Sep-14","barbell bent-over row","4","40 kg","6",""
"17-Sep-14","calf raise","1","80 kg","10",""
"17-Sep-14","calf raise","2","80 kg","10",""
"17-Sep-14","calf raise","3","80 kg","10",""
"17-Sep-14","calf raise","4","80 kg","12",""
"17-Sep-14","deadlift","1","40 kg","8",""
"17-Sep-14","deadlift","2","40 kg","8",""
"17-Sep-14","deadlift","3","40 kg","12",""
"17-Sep-14","deadlift","4","55 kg","6",""
"17-Sep-14","deadlift","5","55 kg","6",""
"17-Sep-14","deadlift","6","55 kg","6",""
"17-Sep-14","lat pulldown","1","61 kg","6",""
"17-Sep-14","lat pulldown","2","61 kg","6",""
"17-Sep-14","lat pulldown","3","68 kg","6",""

"18-Sep-14","bar military press","1","20 kg","8",""
"18-Sep-14","bar military press","2","20 kg","8",""
"18-Sep-14","bar military press","3","20 kg","12",""
"18-Sep-14","bar military press","4","30 kg","6",""
"18-Sep-14","bar military press","5","30 kg","6",""
"18-Sep-14","bar military press","6","30 kg","6",""
"18-Sep-14","barbell shrug","1","45 kg","8",""
"18-Sep-14","barbell shrug","2","45 kg","10",""
"18-Sep-14","barbell shrug","3","50 kg","8",""
"18-Sep-14","barbell shrug","4","50 kg","8",""
"18-Sep-14","cable side lateral raise","1","8 kg","8","using dumbells"
"18-Sep-14","cable side lateral raise","2","8 kg","8","using dumbells"
"18-Sep-14","cable side lateral raise","3","8 kg","8","using dumbells"
"18-Sep-14","cable side lateral raise","4","8 kg","6","using dumbells"
"18-Sep-14","barbell rear delt raise","1","20 kg","8",""
"18-Sep-14","barbell rear delt raise","2","20 kg","8",""
"18-Sep-14","barbell rear delt raise","3","20 kg","8",""

"19-Sep-14","barbell squat","1","0 kg","8",""
"19-Sep-14","barbell squat","2","0 kg","8",""
"19-Sep-14","barbell squat","3","20 kg","8",""
"19-Sep-14","barbell squat","4","40 kg","6",""
"19-Sep-14","barbell squat","5","40 kg","6",""
"19-Sep-14","barbell squat","6","40 kg","6",""
"19-Sep-14","romanian deadlift","1","45 kg","8",""
"19-Sep-14","romanian deadlift","2","45 kg","8",""
"19-Sep-14","romanian deadlift","3","45 kg","8",""
"19-Sep-14","romanian deadlift","4","45 kg","8",""
"19-Sep-14","machine leg press","1","85 kg","8",""
"19-Sep-14","machine leg press","2","105 kg","6",""
"19-Sep-14","machine leg press","3","105 kg","6",""
"19-Sep-14","machine leg press","4","105 kg","8",""

"21-Sep-14","air bicycles","1","0.0 kg","50",""
"21-Sep-14","air bicycles","2","0.0 kg","50",""
"21-Sep-14","air bicycles","3","0.0 kg","50",""
"21-Sep-14","cable triceps pushdown","1","21.25 kg","8","too easy "
"21-Sep-14","cable triceps pushdown","2","26.25 kg","6",""
"21-Sep-14","cable triceps pushdown","3","26.25 kg","6",""
"21-Sep-14","cable triceps pushdown","4","28.75 kg","6",""
"21-Sep-14","seated triceps extension","1","20 kg","6","too heavy!"
"21-Sep-14","seated triceps extension","2","14 kg","8",""
"21-Sep-14","seated triceps extension","3","14 kg","8",""
"21-Sep-14","seated triceps extension","4","16 kg","6",""
"21-Sep-14","seated triceps extension","5","16 kg","6",""
"21-Sep-14","standing biceps curl","1","20 kg","8","too light! 25 in use..."
"21-Sep-14","standing biceps curl","2","20 kg","8","too light! 25 in use..."
"21-Sep-14","standing biceps curl","3","20 kg","8","too light! 25 in use..."
"21-Sep-14","standing biceps curl","4","25 kg","6",""
"21-Sep-14","dumbbell biceps curl","1","12 kg","8",""
"21-Sep-14","dumbbell biceps curl","2","12 kg","8",""
"21-Sep-14","dumbbell biceps curl","3","12 kg","8",""
"21-Sep-14","dumbbell biceps curl","4","14 kg","6","failed on 6th in left hand"
"21-Sep-14","dumbbell biceps curl","5","14 kg","6","failed on 6th in left hand"
"21-Sep-14","captains chair leg raise","1","0.0 kg","8",""
"21-Sep-14","captains chair leg raise","2","0.0 kg","8",""
"21-Sep-14","captains chair leg raise","3","0.0 kg","8",""
"21-Sep-14","captains chair leg raise","4","0.0 kg","8",""
"21-Sep-14","kneeling cable crunch","1","23.75 kg","8",""
"21-Sep-14","kneeling cable crunch","2","23.75 kg","8",""
"21-Sep-14","kneeling cable crunch","3","23.75 kg","8",""
"21-Sep-14","kneeling cable crunch","4","23.75 kg","8",""

"22-Sep-14","air bicycles","1","0.0 kg","50",""
"22-Sep-14","air bicycles","2","0.0 kg","50",""
"22-Sep-14","air bicycles","3","0.0 kg","50",""
"22-Sep-14","dip","1","0.0 kg","6",""
"22-Sep-14","dip","2","0.0 kg","6",""
"22-Sep-14","dip","3","0.0 kg","6",""
"22-Sep-14","dip","4","0.0 kg","6",""
"22-Sep-14","incline barbell bench press","1","40 kg","6","dumbells (combined weight)"
"22-Sep-14","incline barbell bench press","2","40 kg","6","dumbells (combined weight)"
"22-Sep-14","incline barbell bench press","3","40 kg","6","dumbells (combined weight)"
"22-Sep-14","barbell bench press","1","40 kg","8",""
"22-Sep-14","barbell bench press","2","40 kg","8",""
"22-Sep-14","barbell bench press","3","40 kg","8",""
"22-Sep-14","barbell bench press","4","48 kg","6",""
"22-Sep-14","barbell bench press","5","48 kg","6","fucking HARD"
"22-Sep-14","barbell bench press","6","48 kg","6","fucking HARD"
"22-Sep-14","captains chair leg raise","1","0.0 kg","8",""
"22-Sep-14","captains chair leg raise","2","0.0 kg","8",""
"22-Sep-14","captains chair leg raise","3","0.0 kg","8",""
"22-Sep-14","captains chair leg raise","4","0.0 kg","8",""
"22-Sep-14","kneeling cable crunch","1","23.75 kg","8",""
"22-Sep-14","kneeling cable crunch","2","23.75 kg","8",""
"22-Sep-14","kneeling cable crunch","3","23.75 kg","8",""
"22-Sep-14","kneeling cable crunch","4","23.75 kg","8",""

"23-Sep-14","one-arm row","1","12 kg","8",""
"23-Sep-14","one-arm row","2","16 kg","8",""
"23-Sep-14","one-arm row","3","16 kg","12",""
"23-Sep-14","one-arm row","4","18 kg","6",""
"23-Sep-14","one-arm row","5","20 kg","6",""
"23-Sep-14","one-arm row","6","22 kg","6",""
"23-Sep-14","calf raise","1","80 kg","12",""
"23-Sep-14","calf raise","2","90 kg","12",""
"23-Sep-14","calf raise","3","90 kg","12",""
"23-Sep-14","calf raise","4","90 kg","12",""
"23-Sep-14","deadlift","1","40 kg","8",""
"23-Sep-14","deadlift","2","40 kg","8",""
"23-Sep-14","deadlift","3","40 kg","12",""
"23-Sep-14","deadlift","4","55 kg","6",""
"23-Sep-14","deadlift","5","55 kg","6",""
"23-Sep-14","deadlift","6","55 kg","6",""
"23-Sep-14","lat pulldown","1","68 kg","6",""
"23-Sep-14","lat pulldown","2","68 kg","6",""
